YearMonth	Site	Transect	CCA	CYAN	DiseasedCoral	HardCoral	Macroalgae	Other	Ramicrusta	SoftCoral	Sponge	Substrate	TurfAlgae
2021-01	BR	1	0	0	0	0.33	0.02	0.05	0	0.19	0.06	0	0.35
2021-01	BR	2	0	0	0.04	0.12	0.02	0.08	0	0.2	0.12	0.11	0.31
2021-01	BR	3	0	0	0.08	0.09	0.03	0	0	0.33	0.11	0	0.36
2021-01	BR	4	0.05	0	0	0.1	0.03	0.11	0.06	0.24	0.12	0.01	0.28
2021-01	CO	1	0.01	0	0	0.18	0.22	0	0.02	0.06	0.04	0.11	0.36
2021-01	CO	2	0	0.02	0	0.06	0.34	0	0.01	0.15	0.01	0.11	0.3
2021-01	CO	3	0.01	0.02	0	0.13	0.41	0	0.07	0.05	0.07	0.07	0.17
2021-01	CO	4	0	0.02	0	0.04	0.31	0.03	0	0.06	0.04	0.29	0.21
2021-01	DL	1	0.01	0	0	0.16	0.23	0.04	0	0.12	0.02	0.25	0.17
2021-01	DL	2	0.06	0	0	0.28	0.21	0	0	0.23	0.02	0.03	0.17
2021-01	DL	3	0	0	0	0.24	0.18	0.01	0	0.1	0.06	0.16	0.25
2021-01	DL	4	0.01	0	0	0.21	0.28	0	0	0.11	0.04	0.3	0.05
2021-01	EU	1	0	0.04	0	0.03	0.45	0	0	0.05	0.16	0.09	0.18
2021-01	EU	2	0	0	0.02	0.06	0.54	0	0	0.06	0.15	0.13	0.04
2021-01	EU	3	0	0	0	0.16	0.4	0.02	0	0.04	0.06	0.18	0.14
2021-01	EU	4	0	0.01	0	0.06	0.33	0	0	0.02	0.09	0.12	0.37
2021-01	JS	1	0	0.04	0	0.13	0.03	0.05	0.03	0.13	0.24	0.12	0.23
2021-01	JS	2	0	0	0.06	0.08	0	0	0.08	0.27	0.26	0.02	0.23
2021-01	JS	3	0	0	0.04	0.1	0.09	0.1	0.15	0.18	0.13	0	0.21
2021-01	JS	4	0.01	0	0	0.05	0.06	0.09	0.03	0.45	0.14	0.01	0.16
2021-01	RH	1	0	0.01	0	0.1	0.17	0.03	0.07	0.1	0.16	0.06	0.3
2021-01	RH	2	0.15	0	0	0.1	0.05	0.08	0.24	0.05	0.19	0.02	0.12
2021-01	RH	3	0.02	0.04	0	0.14	0.19	0.03	0.02	0.13	0.2	0.12	0.11
2021-01	RH	4	0.01	0.05	0	0.13	0.21	0.06	0.01	0.1	0.12	0.09	0.22
2021-01	TK	1	0.01	0.17	0.06	0.28	0.28	0	0.02	0.01	0.13	0.01	0.03
2021-01	TK	2	0.05	0.13	0.03	0.14	0.4	0.02	0.05	0.04	0.03	0.05	0.06
2021-01	TK	3	0.02	0.11	0	0.35	0.34	0.01	0	0.03	0.02	0.12	0
2021-01	TK	4	0.01	0.31	0	0.35	0.19	0	0.03	0.05	0.05	0.01	0
2021-01	YZ	1	0.01	0	0.08	0.14	0.14	0.06	0.01	0.01	0.11	0	0.44
2021-01	YZ	2	0.03	0	0.06	0.06	0.23	0.09	0	0.05	0.22	0.05	0.21
2021-01	YZ	3	0.01	0.01	0.04	0.2	0.11	0	0	0.04	0.14	0.21	0.24
2021-01	YZ	4	0.06	0	0.33	0.15	0.03	0.07	0.04	0.03	0.06	0	0.23
