rep_group,Site,Date,Time,sample_type,NPOC_uM_,TN_uM_,Prochlorococcus,Synechococcus,Picoeukaryotes,Unpigmented_cells,adaptedDervLabel,2'deoxycytidine,4-aminobenzoic acid,5'AMP,GABA,N-acetyl-muramic acid,amMP,arginine,asparagine,cysteine 2,cytidine,cytosine,ectoine plus H2O,folate,glutamine,glutathione 2,glycine,guanosine,homoserine betaine,ornithine 2,sarcosine,spermidine 3,taurine,tryptamine,tyrosine,3'AMP,5'UMP,DHPS,alanine,aspartate,ciliatine,citrulline,cysteate,glutamic acid,histidine,isethionate,isoleucine,kynurenine,leucine,lysine 2,malic acid,methionine,pantothenic acid,phenylalanine,proline,putrescine 2,serine,sn-glycerol 3-phosphate,threonine,tryptophan,uridine,valine
1,Coco_loba,1/19/2021,14:08,peak_photo,72.73015687,7.521046411,10045,37173,788,567000,CINAR_BC_9,0.070537549,0.301031052,0.098570388,0.004793015,0.253454499,0.001675375,0.467814471,0.470385229,1.647212851,0.092592774,0.297592796,0.051801377,0.381944607,14.88481411,0.150141971,3.08205142,0.082819425,0.120331499,0.388028985,0.390033741,0.002253795,2.306956007,0.003309239,0.390479432,0.004366778,0.086748398,6.011477993,1.246863155,1.630189207,0.06880268,0.20197713,0.371526853,6.47356323,0.139359272,0.71198412,0.286711376,0.044245089,0.233751193,0.493725939,0.732454155,0.014996646,0.026183784,0.218477156,0.327228026,0.010240569,1.160015741,0.430060109,0.328040077,0.019082452,0.132684986,0.401114986
1,Coco_loba,1/19/2021,14:08,peak_photo,72.73015687,7.521046411,10045,37173,788,567000,CINAR_BC_11,0.070537549,0.256721729,0.104366175,0.004793015,0.253454499,0.001675375,0.389063747,0.392144459,0.659597302,0.040566727,0.297592796,0.051801377,0.381944607,9.461872988,0.15878512,2.726383863,0.324748079,0.120331499,0.283869533,0.229861287,0.002253795,1.83640001,0.003309239,0.390479432,0.004366778,0.093546023,4.774096171,0.999270337,1.346204049,0.057309557,0.178616281,0.285309933,5.624890456,0.139359272,0.620136488,0.265722174,0.041002177,0.201868218,0.445596439,0.837953259,0.014996646,0.026561898,0.192043229,0.278055458,0.010240569,1.050348927,0.303909345,0.310769806,0.019082452,0.111128664,0.356294124
1,Coco_loba,1/19/2021,14:08,peak_photo,72.73015687,7.521046411,10045,37173,788,567000,CINAR_BC_12,0.070537549,0.214206115,0.045594535,0.004793015,0.253454499,0.001675375,0.452642815,0.342134239,1.207387485,0.170414083,0.297592796,0.051801377,0.381944607,2.329594229,0.088908033,2.89703027,0.032033883,0.120331499,0.420241102,0.109171878,0.002253795,1.037138397,0.003309239,0.390479432,0.004366778,0.054348625,1.755014072,0.852074289,1.102677426,0.076588854,0.170237004,0.522163911,1.671574617,0.139359272,0.558780305,0.370395983,0.049924445,0.265801209,0.501772192,0.859284127,0.014996646,0.023982562,0.382769702,0.256939076,0.010240569,1.758238461,0.300268682,0.407823845,0.019082452,0.113154027,0.341574921
1,Coco_loba,1/19/2021,14:08,peak_photo,72.73015687,7.521046411,10045,37173,788,567000,CINAR_BC_13,0.070537549,0.13393027,0.057690215,0.004793015,0.253454499,0.001675375,0.335994702,0.258937709,1.635828763,0.263613243,0.297592796,0.051801377,0.381944607,1.33090132,0.073836681,1.290396972,0.075807706,0.120331499,0.18591916,0.21528118,0.002253795,1.968394169,0.003309239,0.390479432,0.004366778,0.058613331,0.788135263,0.423510366,0.792206847,0.074594731,0.080841161,0.397033854,1.168638138,0.139359272,0.483011319,0.155737081,0.018662078,0.131122419,0.263135661,0.787845244,0.014996646,0.021398467,0.118053059,0.135101415,0.010240569,0.616931492,0.414996659,0.051880331,0.019082452,0.067362053,0.057862992
2,Ditliff,1/19/2021,13:08,peak_photo,72.37156578,9.153000178,6263,22624,643,494000,CINAR_BC_4,0.070537549,0.017044136,0.043641818,0.022606319,0.253454499,0.001675375,0.342141321,0.460236866,1.405271374,0.040566727,0.297592796,0.051801377,0.381944607,5.925402938,0.110000058,4.693136842,0.032033883,0.120331499,0.39202179,0.154214063,0.041638569,1.570319576,0.003309239,0.390479432,0.004366778,0.074601583,3.253966769,0.944576325,1.603593615,0.074255329,0.173089412,0.322415733,7.244292368,0.139359272,0.764830284,0.262035472,0.018662078,0.214795691,0.492073346,0.946134038,0.014996646,0.020311788,0.162671999,0.352366869,0.179512832,1.420743436,0.29999336,0.397633818,0.019082452,0.026442801,0.347006622
2,Ditliff,1/19/2021,13:08,peak_photo,72.37156578,9.153000178,6263,22624,643,494000,CINAR_BC_8,0.070537549,0.21353326,0.043641818,0.038276426,0.253454499,0.001675375,0.304689256,0.37059004,0.756446079,0.040566727,0.297592796,0.051801377,0.381944607,3.600371451,0.175233225,2.439435591,0.055464248,0.120331499,0.319102418,0.113065035,0.038432536,1.115027334,0.003309239,0.390479432,0.004366778,0.071749454,2.174806009,0.744679275,0.995826529,0.06944578,0.129087219,0.242850099,3.654160116,0.139359272,0.476342001,0.256691829,0.018662078,0.169152945,0.387469725,1.385214621,0.014996646,0.020440614,0.153832274,0.193169399,0.181122102,1.161184313,0.221549516,0.284321957,0.019082452,0.077032746,0.312962427
2,Ditliff,1/19/2021,13:08,peak_photo,72.37156578,9.153000178,6263,22624,643,494000,CINAR_BC_5,0.070537549,0.49341216,0.043641818,0.043569892,0.253454499,0.001675375,0.653377953,0.842666124,1.507227626,0.040566727,0.297592796,0.051801377,0.381944607,19.21571566,0.295169671,3.790900122,0.074657241,0.120331499,0.670834277,0.245785273,0.066706538,2.119244017,0.003309239,0.390479432,0.004366778,0.113991479,12.67770668,1.84071925,3.303321814,0.082816727,0.340048633,0.470205561,16.88630184,0.139359272,1.29113807,0.621200758,0.018662078,0.429101729,0.927247283,0.723532492,0.014996646,0.024223053,0.343993229,0.67158853,0.030996981,2.260521274,0.571056633,0.700111472,0.019082452,0.146033156,0.714211404
2,Ditliff,1/19/2021,13:08,peak_photo,72.37156578,9.153000178,6263,22624,643,494000,CINAR_BC_6,0.070537549,0.301162966,0.043641818,0.053664362,0.253454499,0.001675375,0.218757998,0.294613644,1.366874839,0.040566727,0.297592796,0.051801377,0.381944607,1.403618399,0.061927755,3.297117424,0.077227738,0.120331499,0.67615749,0.114349976,0.002253795,0.808355906,0.003309239,0.390479432,0.004366778,0.051797019,0.646103762,1.070613417,1.305264367,0.070531711,0.385073679,0.409107258,1.296406005,0.139359272,0.430148237,0.268062402,0.018662078,0.264938637,0.552317048,0.89239532,0.014996646,0.021602083,0.188593145,0.29933966,0.010240569,2.114769894,0.429067913,0.560642279,0.019082452,0.04578055,0.399576112
3,Joel's Shoal,1/17/2021,15:30,peak_photo,80.82833901,10.3004071,20405,71143,1221,775000,CINAR_BC_3,0.070537549,0.709397625,0.043641818,0.038894078,0.253454499,0.001675375,0.443858047,0.782395105,1.127535682,0.104182083,0.297592796,0.326438443,0.381944607,2.414965758,0.060261131,8.239739984,0.073390835,0.70164959,2.136024487,0.167275184,0.002253795,1.328484651,0.003309239,0.390479432,0.00783707,0.045357392,2.595737904,3.314557597,3.083380437,0.04238418,0.609853851,0.264090861,2.517623139,1.557820385,1.252304761,1.121840991,0.038232893,0.765540308,1.583159314,1.677125842,0.014996646,0.040693058,0.499198883,0.909305719,0.027576374,7.390580036,0.224560835,1.843590731,0.048675929,0.098373601,1.36279023
3,Joel's Shoal,1/17/2021,15:30,peak_photo,80.82833901,10.3004071,20405,71143,1221,775000,CINAR_BC_2,0.070537549,0.230967436,0.04834814,0.044056966,0.253454499,0.001675375,0.333924183,0.499108051,1.203343753,0.040566727,4.227432495,0.051801377,0.381944607,5.164868437,0.120054017,3.390690117,0.053869805,1.610207194,0.299095474,0.295924688,0.018260886,1.517628409,0.003309239,0.390479432,0.004366778,0.07052043,6.462137705,1.071529713,1.845483407,0.061625232,0.187126741,0.282121238,6.532862628,0.139359272,1.166401821,0.2447612,0.018662078,0.208535919,0.465864091,2.468574123,0.014996646,0.021251066,0.146518663,0.391116513,0.010240569,1.145903499,0.280148567,0.353906294,0.019082452,0.068705627,0.296524602
