Sample_Type,File_Name,Sample_ID,Path,Instrument_Method,Position,Inj_Vol,Dil_Factor,Sample_Name,sMatlabName,ionMode,goodData,sType,runOrder
Unknown,mtab_CINAR_BC_lumos_032822_20,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:A2,5,1,CINAR_BC_pool neg,p1CINAR_BC,neg,1,pool,1
Unknown,mtab_CINAR_BC_lumos_032822_21,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:B3,5,1,CINAR_BC_49 neg,CINAR_BC_49,neg,1,rep,2
Unknown,mtab_CINAR_BC_lumos_032822_22,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:B4,5,1,CINAR_BC_8 neg,CINAR_BC_8,neg,1,rep,3
Unknown,mtab_CINAR_BC_lumos_032822_23,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:B5,5,1,CINAR_BC_1 neg,CINAR_BC_1,neg,1,rep,4
Unknown,mtab_CINAR_BC_lumos_032822_24,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:B6,5,1,CINAR_BC_84 neg,CINAR_BC_84,neg,1,rep,5
Unknown,mtab_CINAR_BC_lumos_032822_25,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:B7,5,1,CINAR_BC_70 neg,CINAR_BC_70,neg,1,rep,6
Unknown,mtab_CINAR_BC_lumos_032822_26,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:B8,5,1,CINAR_BC_99 neg,CINAR_BC_99,neg,1,rep,7
Unknown,mtab_CINAR_BC_lumos_032822_27,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:B9,5,1,CINAR_BC_116 neg,CINAR_BC_116,neg,1,rep,8
Unknown,mtab_CINAR_BC_lumos_032822_28,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:C1,5,1,CINAR_BC_112 neg,CINAR_BC_112,neg,1,rep,9
Unknown,mtab_CINAR_BC_lumos_032822_29,R:A1,D:\Kujawinski\2022_0328 CINAR_BC,C:\Xcalibur\methods\Kujawinski\BC Derivatization\UPLC_neg_HCD_OT_071620_60k_noDE_16min_targetedMS2only_170to1000_35,G:C2,5,1,CINAR_BC_103 neg,CINAR_BC_103,neg,1,rep,10
